,num,time,scale,min_lifetime,derror,terror,epair,spair,eg,sg,r
79,10000,40,0.002,7,300.0,200.0,4661,32711,72,148,<function recall at 0x7fa67b33a0d0>
80,10000,40,0.001,3,300.0,300.0,9493,79234,1602,308,<function recall at 0x7fa67b33a0d0>
81,10000,40,0.002,3,300.0,300.0,9493,124053,1602,133,<function recall at 0x7fa67b33a0d0>
82,10000,40,0.001,4,300.0,300.0,9046,53124,1148,299,<function recall at 0x7fa67b33a0d0>
83,10000,40,0.002,4,300.0,300.0,9046,96297,1148,204,<function recall at 0x7fa67b33a0d0>
84,10000,40,0.001,5,300.0,300.0,8225,33291,687,257,<function recall at 0x7fa67b33a0d0>
85,10000,40,0.002,5,300.0,300.0,8225,71721,687,223,<function recall at 0x7fa67b33a0d0>
86,10000,40,0.001,6,300.0,300.0,7049,18843,326,162,<function recall at 0x7fa67b33a0d0>
87,10000,40,0.002,6,300.0,300.0,7049,50086,326,188,<function recall at 0x7fa67b33a0d0>
88,10000,40,0.001,7,300.0,300.0,5392,9513,112,92,<function recall at 0x7fa67b33a0d0>
89,10000,40,0.002,7,300.0,300.0,5392,32711,112,148,<function recall at 0x7fa67b33a0d0>
90,20000,40,0.001,3,100.0,100.0,16983,317467,3172,391,<function recall at 0x7fa67b33a0d0>
91,20000,40,0.002,3,100.0,100.0,16983,491359,3172,169,<function recall at 0x7fa67b33a0d0>
92,20000,40,0.001,4,100.0,100.0,13411,226166,1397,406,<function recall at 0x7fa67b33a0d0>
93,20000,40,0.002,4,100.0,100.0,13411,389408,1397,193,<function recall at 0x7fa67b33a0d0>
94,20000,40,0.001,5,100.0,100.0,8766,157508,428,384,<function recall at 0x7fa67b33a0d0>
95,20000,40,0.002,5,100.0,100.0,8766,304001,428,243,<function recall at 0x7fa67b33a0d0>
96,20000,40,0.001,6,100.0,100.0,4658,104233,70,341,<function recall at 0x7fa67b33a0d0>
97,20000,40,0.002,6,100.0,100.0,4658,231864,70,267,<function recall at 0x7fa67b33a0d0>
98,20000,40,0.001,7,100.0,100.0,2087,65290,5,240,<function recall at 0x7fa67b33a0d0>
99,20000,40,0.002,7,100.0,100.0,2087,171684,5,274,<function recall at 0x7fa67b33a0d0>
100,20000,40,0.001,3,100.0,200.0,18200,317467,3300,391,<function recall at 0x7fa67b33a0d0>
101,20000,40,0.002,3,100.0,200.0,18200,491359,3300,169,<function recall at 0x7fa67b33a0d0>
102,20000,40,0.001,4,100.0,200.0,16257,226166,1868,406,<function recall at 0x7fa67b33a0d0>
103,20000,40,0.002,4,100.0,200.0,16257,389408,1868,193,<function recall at 0x7fa67b33a0d0>
104,20000,40,0.001,5,100.0,200.0,13082,157508,854,384,<function recall at 0x7fa67b33a0d0>
105,20000,40,0.002,5,100.0,200.0,13082,304001,854,243,<function recall at 0x7fa67b33a0d0>
106,20000,40,0.001,6,100.0,200.0,9222,104233,318,341,<function recall at 0x7fa67b33a0d0>
107,20000,40,0.002,6,100.0,200.0,9222,231864,318,267,<function recall at 0x7fa67b33a0d0>
108,20000,40,0.001,7,100.0,200.0,5886,65290,83,240,<function recall at 0x7fa67b33a0d0>
109,20000,40,0.002,7,100.0,200.0,5886,171684,83,274,<function recall at 0x7fa67b33a0d0>
110,20000,40,0.001,3,100.0,300.0,18486,317467,3207,391,<function recall at 0x7fa67b33a0d0>
111,20000,40,0.002,3,100.0,300.0,18486,491359,3207,169,<function recall at 0x7fa67b33a0d0>
112,20000,40,0.001,4,100.0,300.0,16914,226166,1967,406,<function recall at 0x7fa67b33a0d0>
113,20000,40,0.002,4,100.0,300.0,16914,389408,1967,193,<function recall at 0x7fa67b33a0d0>
114,20000,40,0.001,5,100.0,300.0,14166,157508,999,384,<function recall at 0x7fa67b33a0d0>
115,20000,40,0.002,5,100.0,300.0,14166,304001,999,243,<function recall at 0x7fa67b33a0d0>
116,20000,40,0.001,6,100.0,300.0,10709,104233,423,341,<function recall at 0x7fa67b33a0d0>
117,20000,40,0.002,6,100.0,300.0,10709,231864,423,267,<function recall at 0x7fa67b33a0d0>
118,20000,40,0.001,7,100.0,300.0,7412,65290,147,240,<function recall at 0x7fa67b33a0d0>
119,20000,40,0.002,7,100.0,300.0,7412,171684,147,274,<function recall at 0x7fa67b33a0d0>
120,20000,40,0.001,3,200.0,100.0,18583,317467,3357,391,<function recall at 0x7fa67b33a0d0>
121,20000,40,0.002,3,200.0,100.0,18583,491359,3357,169,<function recall at 0x7fa67b33a0d0>
122,20000,40,0.001,4,200.0,100.0,17096,226166,2094,406,<function recall at 0x7fa67b33a0d0>
123,20000,40,0.002,4,200.0,100.0,17096,389408,2094,193,<function recall at 0x7fa67b33a0d0>
124,20000,40,0.001,5,200.0,100.0,14352,157508,962,384,<function recall at 0x7fa67b33a0d0>
125,20000,40,0.002,5,200.0,100.0,14352,304001,962,243,<function recall at 0x7fa67b33a0d0>
126,20000,40,0.001,6,200.0,100.0,10613,104233,318,341,<function recall at 0x7fa67b33a0d0>
127,20000,40,0.002,6,200.0,100.0,10613,231864,318,267,<function recall at 0x7fa67b33a0d0>
128,20000,40,0.001,7,200.0,100.0,6562,65290,57,240,<function recall at 0x7fa67b33a0d0>
129,20000,40,0.002,7,200.0,100.0,6562,171684,57,274,<function recall at 0x7fa67b33a0d0>
130,20000,40,0.001,3,200.0,200.0,19069,317467,3244,391,<function recall at 0x7fa67b33a0d0>
131,20000,40,0.002,3,200.0,200.0,19069,491359,3244,169,<function recall at 0x7fa67b33a0d0>
132,20000,40,0.001,4,200.0,200.0,18226,226166,2288,406,<function recall at 0x7fa67b33a0d0>
133,20000,40,0.002,4,200.0,200.0,18226,389408,2288,193,<function recall at 0x7fa67b33a0d0>
134,20000,40,0.001,5,200.0,200.0,16738,157508,1361,384,<function recall at 0x7fa67b33a0d0>
135,20000,40,0.002,5,200.0,200.0,16738,304001,1361,243,<function recall at 0x7fa67b33a0d0>
136,20000,40,0.001,6,200.0,200.0,14322,104233,671,341,<function recall at 0x7fa67b33a0d0>
137,20000,40,0.002,6,200.0,200.0,14322,231864,671,267,<function recall at 0x7fa67b33a0d0>
138,20000,40,0.001,7,200.0,200.0,11101,65290,246,240,<function recall at 0x7fa67b33a0d0>
139,20000,40,0.002,7,200.0,200.0,11101,171684,246,274,<function recall at 0x7fa67b33a0d0>
140,20000,40,0.001,3,200.0,300.0,19201,317467,3092,391,<function recall at 0x7fa67b33a0d0>
141,20000,40,0.002,3,200.0,300.0,19201,491359,3092,169,<function recall at 0x7fa67b33a0d0>
142,20000,40,0.001,4,200.0,300.0,18493,226166,2293,406,<function recall at 0x7fa67b33a0d0>
143,20000,40,0.002,4,200.0,300.0,18493,389408,2293,193,<function recall at 0x7fa67b33a0d0>
144,20000,40,0.001,5,200.0,300.0,17252,157508,1442,384,<function recall at 0x7fa67b33a0d0>
145,20000,40,0.002,5,200.0,300.0,17252,304001,1442,243,<function recall at 0x7fa67b33a0d0>
146,20000,40,0.001,6,200.0,300.0,15217,104233,805,341,<function recall at 0x7fa67b33a0d0>
147,20000,40,0.002,6,200.0,300.0,15217,231864,805,267,<function recall at 0x7fa67b33a0d0>
148,20000,40,0.001,7,200.0,300.0,12369,65290,351,240,<function recall at 0x7fa67b33a0d0>
149,20000,40,0.002,7,200.0,300.0,12369,171684,351,274,<function recall at 0x7fa67b33a0d0>
150,20000,40,0.001,3,300.0,100.0,19093,317467,3276,391,<function recall at 0x7fa67b33a0d0>
151,20000,40,0.002,3,300.0,100.0,19093,491359,3276,169,<function recall at 0x7fa67b33a0d0>
152,20000,40,0.001,4,300.0,100.0,18279,226166,2351,406,<function recall at 0x7fa67b33a0d0>
153,20000,40,0.002,4,300.0,100.0,18279,389408,2351,193,<function recall at 0x7fa67b33a0d0>
154,20000,40,0.001,5,300.0,100.0,16817,157508,1395,384,<function recall at 0x7fa67b33a0d0>
155,20000,40,0.002,5,300.0,100.0,16817,304001,1395,243,<function recall at 0x7fa67b33a0d0>
156,20000,40,0.001,6,300.0,100.0,14519,104233,668,341,<function recall at 0x7fa67b33a0d0>
157,20000,40,0.002,6,300.0,100.0,14519,231864,668,267,<function recall at 0x7fa67b33a0d0>
158,20000,40,0.001,7,300.0,100.0,11362,65290,237,240,<function recall at 0x7fa67b33a0d0>
159,20000,40,0.002,7,300.0,100.0,11362,171684,237,274,<function recall at 0x7fa67b33a0d0>
160,20000,40,0.001,3,300.0,200.0,19347,317467,3023,391,<function recall at 0x7fa67b33a0d0>
161,20000,40,0.002,3,300.0,200.0,19347,491359,3023,169,<function recall at 0x7fa67b33a0d0>
162,20000,40,0.001,4,300.0,200.0,18899,226166,2337,406,<function recall at 0x7fa67b33a0d0>
163,20000,40,0.002,4,300.0,200.0,18899,389408,2337,193,<function recall at 0x7fa67b33a0d0>
164,20000,40,0.001,5,300.0,200.0,18091,157508,1628,384,<function recall at 0x7fa67b33a0d0>
165,20000,40,0.002,5,300.0,200.0,18091,304001,1628,243,<function recall at 0x7fa67b33a0d0>
166,20000,40,0.001,6,300.0,200.0,16774,104233,999,341,<function recall at 0x7fa67b33a0d0>
167,20000,40,0.002,6,300.0,200.0,16774,231864,999,267,<function recall at 0x7fa67b33a0d0>
168,20000,40,0.001,7,300.0,200.0,14696,65290,493,240,<function recall at 0x7fa67b33a0d0>
169,20000,40,0.002,7,300.0,200.0,14696,171684,493,274,<function recall at 0x7fa67b33a0d0>
170,20000,40,0.001,3,300.0,300.0,19413,317467,2928,391,<function recall at 0x7fa67b33a0d0>
171,20000,40,0.002,3,300.0,300.0,19413,491359,2928,169,<function recall at 0x7fa67b33a0d0>
172,20000,40,0.001,4,300.0,300.0,19060,226166,2308,406,<function recall at 0x7fa67b33a0d0>
173,20000,40,0.002,4,300.0,300.0,19060,389408,2308,193,<function recall at 0x7fa67b33a0d0>
174,20000,40,0.001,5,300.0,300.0,18385,157508,1659,384,<function recall at 0x7fa67b33a0d0>
175,20000,40,0.002,5,300.0,300.0,18385,304001,1659,243,<function recall at 0x7fa67b33a0d0>
176,20000,40,0.001,6,300.0,300.0,17274,104233,1104,341,<function recall at 0x7fa67b33a0d0>
177,20000,40,0.002,6,300.0,300.0,17274,231864,1104,267,<function recall at 0x7fa67b33a0d0>
178,20000,40,0.001,7,300.0,300.0,15527,65290,601,240,<function recall at 0x7fa67b33a0d0>
179,20000,40,0.002,7,300.0,300.0,15527,171684,601,274,<function recall at 0x7fa67b33a0d0>
